img url,command
https://i.postimg.cc/0jH4PPGC/1.png,请找出在小尺寸红色圆锥体右侧的物体。
https://i.postimg.cc/RVyYYCZS/2.png,请找出在大尺寸绿色圆锥后方的小号蓝色物体。
https://i.postimg.cc/KYyHZ9TC/3.png,请找出在小号蓝色多面体后方的小尺寸物品。
https://i.postimg.cc/zfSP3nSv/4.png,请找出在红色圆柱体右方的大体积物体。
https://i.postimg.cc/cHxk3rXm/5.png,请找出在蓝色多面体后方的小号方块。
https://i.postimg.cc/1tvCrsdZ/6.png,请找出在灰色立方体后方的小尺寸球体。
https://i.postimg.cc/nrMddN89/7.png,请找出在小体积黄色球体左边的球。
https://i.postimg.cc/pr7s3kxG/8.png,请找出在大号绿色方块右侧的圆柱体。
https://i.postimg.cc/2yHsy4Yh/9.png,请找出在大体积绿色圆锥左侧的大尺寸蓝色物体。
https://i.postimg.cc/gcNFgPhj/10.png,请找出在大号球体后方的大尺寸黄色多面体。
https://i.postimg.cc/ZKQkhFVh/11.png,请找出在大尺寸绿色物体右方的大号黄色圆柱体。
https://i.postimg.cc/9Qw6XRnw/12.png,请找出在小体积红色方块右侧的圆锥。
https://i.postimg.cc/kXGrZhNc/13.png,请找出在小体积黄色圆柱体右侧的大体积多面体。
https://i.postimg.cc/R0rjWSks/14.png,请找出在球左边的大型绿色物品。
https://i.postimg.cc/3wgzmM7K/15.png,请找出在大尺寸立方体前方的大型黄色物品。
https://i.postimg.cc/qR4SGmM2/16.png,请找出在大号黄色物体左方的多面体。
https://i.postimg.cc/FRpqCj78/17.png,请找出在大型黄色立方体前方的灰色物品。
https://i.postimg.cc/tJgcKY6T/18.png,请找出在大型蓝色多面体右方的大号圆柱体。
https://i.postimg.cc/J4GgKHmY/19.png,请找出在大尺寸黄色球体后方的大体积黄色物品。
https://i.postimg.cc/y6ftFyqS/20.png,请找出在大尺寸绿色多面体前方的大尺寸红色物品。
