img url,command
https://i.postimg.cc/tTZ2PVPt/1.png,请找出圆柱体。
https://i.postimg.cc/FzYGykLV/image.png,请找出立方体。
https://i.postimg.cc/qRPQGMxf/3.png,请找出球体。
https://i.postimg.cc/QCcmYGfF/4.png,请找出立方体。
https://i.postimg.cc/y6RL8c77/5.png,请找出多面体。
https://i.postimg.cc/nct0jrLB/6.png,请找出圆锥。
https://i.postimg.cc/K8GffWBY/7.png,请找出多面体。
https://i.postimg.cc/J4cKb8yg/8.png,请找出立方体。
https://i.postimg.cc/8zZH0bmm/9.png,请找出圆柱体。
https://i.postimg.cc/9fzp5qx5/10.png,请找出球体。
https://i.postimg.cc/DzDc2yDW/11.png,请找出圆锥。
https://i.postimg.cc/nrfYDSnp/12.png,请找出球体。
https://i.postimg.cc/Y9WzjBKd/13.png,请找出立方体。
https://i.postimg.cc/j266Q6jN/14.png,请找出立方体。
https://i.postimg.cc/QNcq3Dqt/15.png,请找出圆锥。
https://i.postimg.cc/9FVYXkxB/16.png,请找出球体。
https://i.postimg.cc/Pr4zCM9n/17.png,请找出球体。
https://i.postimg.cc/rwwGxr20/18.png,请找出圆锥。
https://i.postimg.cc/7Zt3VZqB/19.png,请找出圆柱体。
https://i.postimg.cc/g0wvBbJG/20.png,请找出多面体。
