img_url,command,new_command_max_distance
https://pic.imgdb.cn/item/66eed345f21886ccc07f597b.png,请找出大体积绿色方块。,请找出10号物体左边的大体积绿色方块。
https://pic.imgdb.cn/item/66eed2aff21886ccc07e1d9e.png,请找出小尺寸灰色正方体。,请找出18号物体左边的小尺寸灰色正方体。
https://pic.imgdb.cn/item/66eed2aff21886ccc07e1dea.png,请找出小尺寸红色立方体。,请找出12号物体左边的小尺寸红色立方体。
https://pic.imgdb.cn/item/66eed344f21886ccc07f5809.png,请找出大尺寸黄色圆锥体。,请找出5号物体左边的大尺寸黄色圆锥体。
https://pic.imgdb.cn/item/66eed44df21886ccc08216bf.png,请找出大体积灰色圆锥。,请找出5号物体左边的大体积灰色圆锥。
https://pic.imgdb.cn/item/66eed44df21886ccc082169e.png,请找出小尺寸绿色球。,请找出13号物体左边的小尺寸绿色球。
https://pic.imgdb.cn/item/66eed346f21886ccc07f5ca9.png,请找出小体积绿色圆柱体。,请找出14号物体左边的小体积绿色圆柱体。
https://pic.imgdb.cn/item/66eed44df21886ccc08216dd.png,请找出大型灰色球。,请找出7号物体左边的大型灰色球。
https://pic.imgdb.cn/item/66eed3e9f21886ccc0813b7b.png,请找出大尺寸黄色球。,请找出11号物体右边的大尺寸黄色球。
https://pic.imgdb.cn/item/66eed344f21886ccc07f563d.png,请找出小型红色圆锥。,请找出5号物体右边的小型红色圆锥。
https://pic.imgdb.cn/item/66eed2aff21886ccc07e1dfd.png,请找出小号蓝色圆锥。,请找出10号物体左边的小号蓝色圆锥。
https://pic.imgdb.cn/item/66eed3e8f21886ccc0813a32.png,请找出大体积红色圆锥体。,请找出9号物体左边的大体积红色圆锥体。
https://pic.imgdb.cn/item/66eed2aff21886ccc07e1e25.png,请找出小型灰色方块。,请找出13号物体右边的小型灰色方块。
https://pic.imgdb.cn/item/66eed345f21886ccc07f5b48.png,请找出大体积黄色球体。,请找出13号物体左边的大体积黄色球体。
https://pic.imgdb.cn/item/66eed3e9f21886ccc0813bfe.png,请找出小型灰色圆柱体。,请找出18号物体左边的小型灰色圆柱体。
https://pic.imgdb.cn/item/66eed3e8f21886ccc0813b1c.png,请找出小体积绿色球体。,请找出9号物体右边的小体积绿色球体。
https://pic.imgdb.cn/item/66eed44df21886ccc08216f1.png,请找出小尺寸绿色球。,请找出6号物体左边的小尺寸绿色球。
https://pic.imgdb.cn/item/66eed44df21886ccc0821682.png,请找出大尺寸蓝色球。,请找出15号物体左边的大尺寸蓝色球。
https://pic.imgdb.cn/item/66eed2aff21886ccc07e1dc8.png,请找出小尺寸蓝色立方体。,请找出18号物体左边的小尺寸蓝色立方体。
https://pic.imgdb.cn/item/66eed3e8f21886ccc0813aaf.png,请找出大尺寸红色多面体。,请找出11号物体左边的大尺寸红色多面体。
