img url,command,new_command_maxdistance
https://i.postimg.cc/tTZ2PVPt/1.png,请找出圆柱体。,请找出9号物体左边的圆柱体。
https://i.postimg.cc/FzYGykLV/image.png,请找出立方体。,请找出5号物体左边的立方体。
https://i.postimg.cc/qRPQGMxf/3.png,请找出球体。,请找出7号物体左边的球体。
https://i.postimg.cc/QCcmYGfF/4.png,请找出立方体。,请找出21号物体右边的立方体。
https://i.postimg.cc/y6RL8c77/5.png,请找出多面体。,请找出3号物体右边的多面体。
https://i.postimg.cc/nct0jrLB/6.png,请找出圆锥。,请找出14号物体左边的圆锥。
https://i.postimg.cc/K8GffWBY/7.png,请找出多面体。,请找出17号物体右边的多面体。
https://i.postimg.cc/J4cKb8yg/8.png,请找出立方体。,请找出7号物体左边的立方体。
https://i.postimg.cc/8zZH0bmm/9.png,请找出圆柱体。,请找出5号物体左边的圆柱体。
https://i.postimg.cc/9fzp5qx5/10.png,请找出球体。,请找出20号物体左边的球体。
https://i.postimg.cc/DzDc2yDW/11.png,请找出圆锥。,请找出12号物体左边的圆锥。
https://i.postimg.cc/nrfYDSnp/12.png,请找出球体。,请找出20号物体左边的球体。
https://i.postimg.cc/Y9WzjBKd/13.png,请找出立方体。,请找出18号物体右边的立方体。
https://i.postimg.cc/j266Q6jN/14.png,请找出立方体。,请找出4号物体右边的立方体。
https://i.postimg.cc/QNcq3Dqt/15.png,请找出圆锥。,请找出3号物体左边的圆锥。
https://i.postimg.cc/9FVYXkxB/16.png,请找出球体。,请找出10号物体左边的球体。
https://i.postimg.cc/Pr4zCM9n/17.png,请找出球体。,请找出17号物体右边的球体。
https://i.postimg.cc/rwwGxr20/18.png,请找出圆锥。,请找出3号物体右边的圆锥。
https://i.postimg.cc/7Zt3VZqB/19.png,请找出圆柱体。,请找出3号物体左边的圆柱体。
https://i.postimg.cc/g0wvBbJG/20.png,请找出多面体。,请找出5号物体右边的多面体。
